taskId,type,product,team,startTime,endTime,duration,mechanics,shift,priority,dependencies,isLatePartTask,isReworkTask,isCritical,slackHours,Scenario,MaxLateness,TotalLateness,InstanceBased
Product E_20,Production,Product E,Mechanic Team 1,2025-09-09T08:45:00,2025-09-09T10:15:00,90,2,1st,296,[],False,False,False,317.7,baseline,-7,0,True
Product E_41,Production,Product E,Mechanic Team 1,2025-09-09T08:45:00,2025-09-09T09:05:00,20,1,1st,297,[],False,False,False,338.95,baseline,-7,0,True
Product E_46,Production,Product E,Mechanic Team 1,2025-09-09T08:45:00,2025-09-09T09:45:00,60,2,1st,298,[],False,False,False,398.95,baseline,-7,0,True
Product E_45,Production,Product E,Mechanic Team 3,2025-09-09T09:05:00,2025-09-09T09:55:00,50,1,1st,299,[],False,False,False,369.4166666666667,baseline,-7,0,True
Product E_QI_120,Quality Inspection,Product E,Quality Team 1,2025-09-09T10:15:00,2025-09-09T11:00:00,45,2,1st,300,[],False,False,False,355.25,baseline,-7,0,True
Product E_40,Production,Product E,Mechanic Team 3,2025-09-09T11:00:00,2025-09-09T13:00:00,120,4,1st,301,[],False,False,False,360.5,baseline,-7,0,True
Product E_QI_140,Quality Inspection,Product E,Quality Team 3,2025-09-09T13:00:00,2025-09-09T13:45:00,45,2,1st,302,[],False,False,False,379.25,baseline,-7,0,True
Product E_21,Production,Product E,Mechanic Team 2,2025-09-09T14:30:00,2025-09-09T15:10:00,40,1,2nd,303,[],False,False,False,252.7,baseline,-7,0,True
Product E_43,Production,Product E,Mechanic Team 2,2025-09-09T14:30:00,2025-09-09T15:00:00,30,1,2nd,304,[],False,False,False,297.75,baseline,-7,0,True
Product E_QI_128,Quality Inspection,Product E,Quality Team 2,2025-09-09T14:30:00,2025-09-09T15:15:00,45,2,2nd,305,[],False,False,False,361.25,baseline,-7,0,True
Product E_38,Production,Product E,Mechanic Team 2,2025-09-09T14:30:00,2025-09-09T15:30:00,60,2,2nd,306,[],False,False,False,375.5,baseline,-7,0,True
Product E_25,Production,Product E,Mechanic Team 2,2025-09-09T15:10:00,2025-09-09T16:00:00,50,1,2nd,307,[],False,False,False,284.8333333333333,baseline,-7,0,True
Product E_QI_138,Quality Inspection,Product E,Quality Team 2,2025-09-09T15:30:00,2025-09-09T16:15:00,45,1,2nd,308,[],False,False,False,406.25,baseline,-7,0,True
Product E_42,Production,Product E,Mechanic Team 4,2025-09-09T23:00:00,2025-09-10T00:00:00,60,2,3rd,309,[],False,False,False,330.25,baseline,-7,0,True
Product E_QI_142,Quality Inspection,Product E,Quality Team 4,2025-09-10T00:00:00,2025-09-10T00:45:00,45,1,3rd,310,[],False,False,False,400.0,baseline,-7,0,True
Product E_26,Production,Product E,Mechanic Team 1,2025-09-10T06:00:00,2025-09-10T07:00:00,60,2,1st,311,[],False,False,False,311.7,baseline,-7,0,True
Product E_39,Production,Product E,Mechanic Team 5,2025-09-10T06:00:00,2025-09-10T06:40:00,40,1,1st,312,[],False,False,False,347.75,baseline,-7,0,True
Product E_36,Production,Product E,Mechanic Team 1,2025-09-10T06:00:00,2025-09-10T07:30:00,90,3,1st,313,[],False,False,False,375.45,baseline,-7,0,True
Product E_56,Production,Product E,Mechanic Team 5,2025-09-10T06:20:00,2025-09-10T07:30:00,70,3,1st,314,[],False,False,False,410.6666666666667,baseline,-7,0,True
Product E_QI_136,Quality Inspection,Product E,Quality Team 1,2025-09-10T07:30:00,2025-09-10T08:15:00,45,2,1st,315,[],False,False,False,409.45,baseline,-7,0,True
Product E_QI_156,Quality Inspection,Product E,Quality Team 5,2025-09-10T07:30:00,2025-09-10T08:15:00,45,2,1st,316,[],False,False,False,430.5,baseline,-7,0,True
Product E_55,Production,Product E,Mechanic Team 5,2025-09-10T08:15:00,2025-09-10T09:11:00,56,2,1st,317,[],False,False,False,411.5,baseline,-7,0,True
Product E_QI_155,Quality Inspection,Product E,Quality Team 5,2025-09-10T09:11:00,2025-09-10T09:56:00,45,1,1st,318,[],False,False,False,433.31666666666666,baseline,-7,0,True
LP_304,Late Part,Product E,Mechanic Team 3,2025-09-12T06:00:00,2025-09-12T07:00:00,60,1,1st,319,[],True,False,False,165.0,baseline,-7,0,True
Product E_35,Production,Product E,Mechanic Team 3,2025-09-12T06:40:00,2025-09-12T07:30:00,50,1,1st,320,[],False,False,False,297.5833333333333,baseline,-7,0,True
Product E_8,Production,Product E,Mechanic Team 1,2025-09-12T07:00:00,2025-09-12T08:00:00,60,2,1st,321,[],False,False,False,167.0,baseline,-7,0,True
Product E_17,Production,Product E,Mechanic Team 5,2025-09-12T07:00:00,2025-09-12T07:30:00,30,1,1st,322,[],False,False,False,235.5,baseline,-7,0,True
Product E_52,Production,Product E,Mechanic Team 1,2025-09-12T07:00:00,2025-09-12T08:30:00,90,3,1st,323,[],False,False,False,341.75,baseline,-7,0,True
Product E_34,Production,Product E,Mechanic Team 5,2025-09-12T07:30:00,2025-09-12T08:30:00,60,2,1st,324,[],False,False,False,297.25,baseline,-7,0,True
Product E_QI_135,Quality Inspection,Product E,Quality Team 3,2025-09-12T07:30:00,2025-09-12T08:15:00,45,1,1st,325,[],False,False,False,312.25,baseline,-7,0,True
Product E_QI_108,Quality Inspection,Product E,Quality Team 1,2025-09-12T08:00:00,2025-09-12T08:45:00,45,2,1st,326,[],False,False,False,190.75,baseline,-7,0,True
Product E_16,Production,Product E,Mechanic Team 1,2025-09-12T08:45:00,2025-09-12T09:45:00,60,2,1st,327,[],False,False,False,193.0,baseline,-7,0,True
